Provider ID|Hospital overall rating|Hospital overall rating footnote|Mortality national comparison|Mortality national comparison footnote|Safety of care national comparison|Safety of care national comparison footnote|Readmission national comparison|Readmission national comparison footnote|Patient experience national comparison|Patient experience national comparison footnote|Effectiveness of care national comparison|Effectiveness of care national comparison footnote|Timeliness of care national comparison|Timeliness of care national comparison footnote|Efficient use of medical imaging national comparison|Efficient use of medical imaging national comparison footnote
391303|3||Same as the national average||Not Available|Results are not available for this reporting period|Same as the national average||Same as the national average||Same as the national average||Same as the national average||Same as the national average|
381321|3||Same as the national average||Not Available|Results are not available for this reporting period|Same as the national average||Same as the national average||Same as the national average||Same as the national average||Same as the national average|
370002|3||Same as the national average||Same as the national average||Same as the national average||Same as the national average||Same as the national average||Above the national average||Below the national average|
440011|2||Same as the national average||Same as the national average||Below the national average||Below the national average||Same as the national average||Above the national average||Above the national average|
340158|3||Same as the national average||Above the national average||Below the national average||Same as the national average||Same as the national average||Same as the national average||Same as the national average|
390142|2||Same as the national average||Same as the national average||Below the national average||Below the national average||Same as the national average||Below the national average||Same as the national average|
440039|3||Same as the national average||Above the national average||Below the national average||Above the national average||Above the national average||Below the national average||Above the national average|
390179|5||Above the national average||Above the national average||Above the national average||Above the national average||Same as the national average||Below the national average||Above the national average|
360361|Not Available|There are too few measures or measure groups reported to calculate a star rating or measure group score|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Same as the national average||Same as the national average||Below the national average|
431306|Not Available|There are too few measures or measure groups reported to calculate a star rating or measure group score|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period
390045|4||Below the national average||Above the national average||Above the national average||Above the national average||Same as the national average||Same as the national average||Same as the national average|
390184|2||Same as the national average||Not Available|Results are not available for this reporting period|Same as the national average||Below the national average||Same as the national average||Above the national average||Below the national average|
391306|3||Same as the national average||Not Available|Results are not available for this reporting period|Same as the national average||Above the national average||Not Available|Results are not available for this reporting period|Same as the national average||Not Available|Results are not available for this reporting period
390270|3||Same as the national average||Below the national average||Same as the national average||Below the national average||Same as the national average||Below the national average||Above the national average|
340130|2||Below the national average||Below the national average||Above the national average||Below the national average||Same as the national average||Same as the national average||Above the national average|
370149|2||Below the national average||Same as the national average||Same as the national average||Above the national average||Below the national average||Above the national average||Below the national average|
340183|3||Same as the national average||Same as the national average||Same as the national average||Below the national average||Same as the national average||Same as the national average||Above the national average|
340042|3||Same as the national average||Above the national average||Same as the national average||Below the national average||Same as the national average||Below the national average||Same as the national average|
360006|2||Below the national average||Below the national average||Same as the national average||Above the national average||Same as the national average||Below the national average||Above the national average|
361306|4||Same as the national average||Not Available|Results are not available for this reporting period|Same as the national average||Above the national average||Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period
450092|3||Same as the national average||Same as the national average||Above the national average||Below the national average||Same as the national average||Below the national average||Same as the national average|
420105|3||Same as the national average||Same as the national average||Same as the national average||Above the national average||Below the national average||Above the national average||Same as the national average|
351322|Not Available|There are too few measures or measure groups reported to calculate a star rating or measure group score|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period
430008|4||Same as the national average||Not Available|Results are not available for this reporting period|Same as the national average||Above the national average||Same as the national average||Above the national average||Same as the national average|
360147|2||Same as the national average||Below the national average||Below the national average||Below the national average||Same as the national average||Same as the national average||Same as the national average|
450080|3||Same as the national average||Same as the national average||Above the national average||Same as the national average||Same as the national average||Same as the national average||Below the national average|
360070|3||Same as the national average||Below the national average||Above the national average||Below the national average||Same as the national average||Same as the national average||Same as the national average|
360266|Not Available|There are too few measures or measure groups reported to calculate a star rating or measure group score|Not Available|Results are not available for this reporting period|Above the national average||Not Available|Results are not available for this reporting period|Above the national average||Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period
341322|4|This hospitals star rating only includes data reported on inpatient services|Same as the national average||Not Available|Results are not available for this reporting period|Above the national average||Above the national average||Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period
390147|3||Above the national average||Same as the national average||Below the national average||Above the national average||Same as the national average||Same as the national average||Below the national average|
450046|3||Same as the national average||Above the national average||Above the national average||Below the national average||Same as the national average||Below the national average||Below the national average|
370028|4||Below the national average||Above the national average||Above the national average||Above the national average||Same as the national average||Same as the national average||Same as the national average|
433300|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs
360161|4||Same as the national average||Above the national average||Same as the national average||Same as the national average||Same as the national average||Below the national average||Above the national average|
443303|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs
420019|3||Same as the national average||Not Available|Results are not available for this reporting period|Same as the national average||Below the national average||Same as the national average||Same as the national average||Not Available|Results are not available for this reporting period
431325|3|This hospitals star rating only includes data reported on inpatient services|Same as the national average||Not Available|Results are not available for this reporting period|Same as the national average||Same as the national average||Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period
340131|5||Same as the national average||Above the national average||Above the national average||Above the national average||Same as the national average||Below the national average||Same as the national average|
431333|Not Available|There are too few measures or measure groups reported to calculate a star rating or measure group score|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period
420087|5||Same as the national average||Above the national average||Above the national average||Above the national average||Same as the national average||Above the national average||Same as the national average|
360170|3||Same as the national average||Same as the national average||Same as the national average||Same as the national average||Same as the national average||Same as the national average||Same as the national average|
380022|2||Same as the national average||Below the national average||Same as the national average||Same as the national average||Same as the national average||Above the national average||Same as the national average|
351306|Not Available|There are too few measures or measure groups reported to calculate a star rating or measure group score|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period
390185|4||Above the national average||Above the national average||Same as the national average||Below the national average||Below the national average||Same as the national average||Same as the national average|
390039|2||Same as the national average||Below the national average||Same as the national average||Same as the national average||Same as the national average||Above the national average||Same as the national average|
390162|2||Above the national average||Below the national average||Same as the national average||Same as the national average||Same as the national average||Same as the national average||Same as the national average|
420082|2||Below the national average||Same as the national average||Below the national average||Same as the national average||Same as the national average||Same as the national average||Above the national average|
340075|3||Same as the national average||Same as the national average||Above the national average||Same as the national average||Same as the national average||Same as the national average||Same as the national average|
420103|4||Same as the national average||Same as the national average||Same as the national average||Above the national average||Same as the national average||Same as the national average||Same as the national average|
423300|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs
360077|5||Above the national average||Above the national average||Above the national average||Above the national average||Same as the national average||Same as the national average||Above the national average|
370203|5||Not Available|Results are not available for this reporting period|Same as the national average||Not Available|Results are not available for this reporting period|Above the national average||Same as the national average||Above the national average||Same as the national average|
450078|3||Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Same as the national average||Not Available|Results are not available for this reporting period|Same as the national average||Above the national average||Not Available|Results are not available for this reporting period
341329|4||Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Same as the national average||Above the national average||Same as the national average||Above the national average||Same as the national average|
420080|2||Below the national average||Same as the national average||Below the national average||Below the national average||Same as the national average||Below the national average||Same as the national average|
431322|Not Available|There are too few measures or measure groups reported to calculate a star rating or measure group score|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Same as the national average||Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period
361327|Not Available|There are too few measures or measure groups reported to calculate a star rating or measure group score|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Same as the national average||Not Available|Results are not available for this reporting period
360355|Not Available|There are too few measures or measure groups reported to calculate a star rating or measure group score|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Above the national average||Same as the national average||Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period
360159|3||Same as the national average||Same as the national average||Same as the national average||Below the national average||Same as the national average||Same as the national average||Above the national average|
360081|4||Same as the national average||Above the national average||Above the national average||Same as the national average||Same as the national average||Below the national average||Same as the national average|
371302|Not Available|There are too few measures or measure groups reported to calculate a star rating or measure group score|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Same as the national average||Same as the national average||Not Available|Results are not available for this reporting period
370015|4||Same as the national average||Not Available|Results are not available for this reporting period|Same as the national average||Above the national average||Same as the national average||Above the national average||Same as the national average|
360197|3||Same as the national average||Same as the national average||Same as the national average||Same as the national average||Same as the national average||Same as the national average||Same as the national average|
440130|3||Same as the national average||Same as the national average||Same as the national average||Same as the national average||Same as the national average||Above the national average||Same as the national average|
431315|Not Available|There are too few measures or measure groups reported to calculate a star rating or measure group score|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Same as the national average||Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period
360011|3||Same as the national average||Above the national average||Below the national average||Same as the national average||Same as the national average||Same as the national average||Same as the national average|
440102|2||Same as the national average||Same as the national average||Same as the national average||Below the national average||Same as the national average||Above the national average||Not Available|Results are not available for this reporting period
390115|2||Same as the national average||Same as the national average||Below the national average||Below the national average||Same as the national average||Below the national average||Above the national average|
370018|2||Below the national average||Same as the national average||Above the national average||Same as the national average||Same as the national average||Same as the national average||Same as the national average|
361323|3||Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Same as the national average||Above the national average||Same as the national average||Above the national average||Not Available|Results are not available for this reporting period
420089|4||Same as the national average||Same as the national average||Above the national average||Above the national average||Same as the national average||Above the national average||Same as the national average|
371303|Not Available|There are too few measures or measure groups reported to calculate a star rating or measure group score|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period
360032|4||Same as the national average||Above the national average||Above the national average||Above the national average||Same as the national average||Above the national average||Not Available|Results are not available for this reporting period
340085|2||Below the national average||Below the national average||Same as the national average||Below the national average||Same as the national average||Below the national average||Not Available|Results are not available for this reporting period
370218|3||Same as the national average||Above the national average||Same as the national average||Same as the national average||Same as the national average||Same as the national average||Same as the national average|
441304|Not Available|There are too few measures or measure groups reported to calculate a star rating or measure group score|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Same as the national average||Same as the national average|
390325|Not Available|There are too few measures or measure groups reported to calculate a star rating or measure group score|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Above the national average||Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period
440049|2||Same as the national average||Below the national average||Below the national average||Same as the national average||Same as the national average||Same as the national average||Above the national average|
340020|2||Same as the national average||Same as the national average||Below the national average||Below the national average||Same as the national average||Same as the national average||Above the national average|
360360|3||Same as the national average||Same as the national average||Below the national average||Above the national average||Same as the national average||Same as the national average||Same as the national average|
391308|4||Same as the national average||Not Available|Results are not available for this reporting period|Same as the national average||Not Available|Results are not available for this reporting period|Same as the national average||Same as the national average||Not Available|Results are not available for this reporting period
381316|3||Same as the national average||Not Available|Results are not available for this reporting period|Same as the national average||Same as the national average||Same as the national average||Above the national average||Same as the national average|
340141|3||Below the national average||Below the national average||Above the national average||Above the national average||Same as the national average||Same as the national average||Above the national average|
340106|4||Same as the national average||Not Available|Results are not available for this reporting period|Same as the national average||Above the national average||Same as the national average||Same as the national average||Not Available|Results are not available for this reporting period
371307|Not Available|There are too few measures or measure groups reported to calculate a star rating or measure group score|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period
440110|4||Same as the national average||Same as the national average||Same as the national average||Same as the national average||Same as the national average||Same as the national average||Same as the national average|
360044|3||Same as the national average||Same as the national average||Same as the national average||Same as the national average||Same as the national average||Above the national average||Same as the national average|
370225|Not Available|There are too few measures or measure groups reported to calculate a star rating or measure group score|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Same as the national average||Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period
340017|4||Same as the national average||Above the national average||Above the national average||Same as the national average||Same as the national average||Same as the national average||Below the national average|
441313|Not Available|There are too few measures or measure groups reported to calculate a star rating or measure group score|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period
340060|3||Same as the national average||Same as the national average||Same as the national average||Below the national average||Same as the national average||Same as the national average||Same as the national average|
360156|4||Same as the national average||Same as the national average||Above the national average||Same as the national average||Same as the national average||Above the national average||Same as the national average|
440053|3||Below the national average||Same as the national average||Below the national average||Same as the national average||Same as the national average||Same as the national average||Above the national average|
431312|Not Available|There are too few measures or measure groups reported to calculate a star rating or measure group score|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period
390268|4||Same as the national average||Above the national average||Below the national average||Above the national average||Above the national average||Same as the national average||Same as the national average|
420083|3||Same as the national average||Same as the national average||Same as the national average||Same as the national average||Same as the national average||Below the national average||Same as the national average|
390009|3||Same as the national average||Below the national average||Above the national average||Below the national average||Above the national average||Above the national average||Same as the national average|
360148|4||Same as the national average||Same as the national average||Same as the national average||Above the national average||Same as the national average||Above the national average||Same as the national average|
441309|Not Available|There are too few measures or measure groups reported to calculate a star rating or measure group score|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Same as the national average||Above the national average||Not Available|Results are not available for this reporting period
431308|Not Available|There are too few measures or measure groups reported to calculate a star rating or measure group score|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period
390081|3||Same as the national average||Same as the national average||Same as the national average||Below the national average||Same as the national average||Below the national average||Below the national average|
371304|3||Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Same as the national average||Not Available|Results are not available for this reporting period|Same as the national average||Above the national average||Not Available|Results are not available for this reporting period
420104|4||Same as the national average||Not Available|Results are not available for this reporting period|Same as the national average||Above the national average||Same as the national average||Above the national average||Same as the national average|
420030|3||Same as the national average||Same as the national average||Same as the national average||Same as the national average||Same as the national average||Above the national average||Same as the national average|
390127|3||Same as the national average||Same as the national average||Same as the national average||Below the national average||Same as the national average||Below the national average||Same as the national average|
370171|4|This hospitals star rating only includes data reported on inpatient services|Same as the national average||Not Available|Results are not available for this reporting period|Same as the national average||Not Available|Results are not available for this reporting period|Same as the national average||Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period
381302|3||Same as the national average||Not Available|Results are not available for this reporting period|Same as the national average||Same as the national average||Same as the national average||Above the national average||Same as the national average|
360086|3||Same as the national average||Above the national average||Same as the national average||Below the national average||Same as the national average||Below the national average||Same as the national average|
370025|2||Same as the national average||Below the national average||Same as the national average||Below the national average||Same as the national average||Same as the national average||Below the national average|
370057|2||Same as the national average||Not Available|Results are not available for this reporting period|Same as the national average||Same as the national average||Same as the national average||Same as the national average||Not Available|Results are not available for this reporting period
440057|3||Same as the national average||Same as the national average||Same as the national average||Same as the national average||Same as the national average||Same as the national average||Same as the national average|
391304|Not Available|There are too few measures or measure groups reported to calculate a star rating or measure group score|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Same as the national average||Above the national average||Not Available|Results are not available for this reporting period
440218|Not Available|There are too few measures or measure groups reported to calculate a star rating or measure group score|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Above the national average||Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period
370216|Not Available|There are too few measures or measure groups reported to calculate a star rating or measure group score|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Above the national average||Same as the national average||Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period
370014|3||Above the national average||Above the national average||Below the national average||Below the national average||Same as the national average||Above the national average||Same as the national average|
441300|Not Available|There are too few measures or measure groups reported to calculate a star rating or measure group score|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period
420107|Not Available|There are too few measures or measure groups reported to calculate a star rating or measure group score|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Same as the national average||Same as the national average||Not Available|Results are not available for this reporting period
340087|3||Same as the national average||Same as the national average||Same as the national average||Above the national average||Same as the national average||Same as the national average||Same as the national average|
340098|4||Same as the national average||Above the national average||Above the national average||Above the national average||Same as the national average||Same as the national average||Above the national average|
340069|3||Same as the national average||Below the national average||Above the national average||Same as the national average||Same as the national average||Below the national average||Above the national average|
440131|3||Same as the national average||Not Available|Results are not available for this reporting period|Same as the national average||Same as the national average||Below the national average||Same as the national average||Not Available|Results are not available for this reporting period
360025|4||Same as the national average||Above the national average||Above the national average||Below the national average||Same as the national average||Above the national average||Above the national average|
360016|4||Above the national average||Above the national average||Above the national average||Same as the national average||Same as the national average||Same as the national average||Same as the national average|
360092|3||Same as the national average||Same as the national average||Same as the national average||Same as the national average||Same as the national average||Same as the national average||Same as the national average|
371334|Not Available|There are too few measures or measure groups reported to calculate a star rating or measure group score|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period
391300|3||Same as the national average||Not Available|Results are not available for this reporting period|Same as the national average||Above the national average||Not Available|Results are not available for this reporting period|Above the national average||Not Available|Results are not available for this reporting period
390012|3||Same as the national average||Above the national average||Below the national average||Above the national average||Same as the national average||Same as the national average||Not Available|Results are not available for this reporting period
440194|3||Same as the national average||Same as the national average||Same as the national average||Same as the national average||Same as the national average||Above the national average||Same as the national average|
360095|4||Same as the national average||Above the national average||Above the national average||Above the national average||Same as the national average||Same as the national average||Same as the national average|
431337|Not Available|There are too few measures or measure groups reported to calculate a star rating or measure group score|Same as the national average||Not Available|Results are not available for this reporting period|Same as the national average||Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period
440111|2||Not Available|Results are not available for this reporting period|Same as the national average||Not Available|Results are not available for this reporting period|Below the national average||Same as the national average||Same as the national average||Not Available|Results are not available for this reporting period
381320|3|This hospitals star rating only includes data reported on inpatient services|Same as the national average||Not Available|Results are not available for this reporting period|Same as the national average||Same as the national average||Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period
381318|4||Same as the national average||Not Available|Results are not available for this reporting period|Same as the national average||Above the national average||Same as the national average||Same as the national average||Same as the national average|
390197|3||Same as the national average||Below the national average||Same as the national average||Below the national average||Same as the national average||Same as the national average||Same as the national average|
360185|3||Same as the national average||Same as the national average||Same as the national average||Same as the national average||Same as the national average||Same as the national average||Same as the national average|
370039|3||Same as the national average||Same as the national average||Same as the national average||Below the national average||Same as the national average||Above the national average||Same as the national average|
390133|2||Above the national average||Below the national average||Below the national average||Below the national average||Same as the national average||Below the national average||Same as the national average|
390150|3||Same as the national average||Not Available|Results are not available for this reporting period|Same as the national average||Same as the national average||Same as the national average||Above the national average||Same as the national average|
420027|3||Same as the national average||Same as the national average||Above the national average||Same as the national average||Same as the national average||Below the national average||Below the national average|
440002|3||Same as the national average||Below the national average||Above the national average||Same as the national average||Same as the national average||Same as the national average||Same as the national average|
